address,agricultural_area_burned,airplanes_cl215,airplanes_cl415,airplanes_gru,airplanes_pzl,army,crop_residue_area_burned,dumping_ground_area_burned,end_time,fire_station,fire_trucks,firefighters,forest_area_burned,forestry,grove_area_burned,helicopters,local_authorities_vehicles,location,low_vegetation_area_burned,machinery,municipality,other_firefighters,prefecture,start_time,swamp_area_burned,volunteers,water_tank_trucks,wildland_crew,woodland_area_burned
,0.0,,,,,,0.0,0.0,,Π.Υ. ΚΩ,,,0.0,ΚΑΛΥΜΝΟΥ,0.0,,,ΜΥΡΤΙΕΣ,2.0,,,,ΔΩΔΕΚΑΝΗΣΩΝ,2007-05-03T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2007-05-14T16:10:00,Π.Υ. ΜΥΡΙΝΑΣ ΛΗΜΝΟΥ,,,0.0,,0.0,,,ΓΟΜΑΤΙ ΑΤΣΙΚΗ ΛΗΜΝΟΥ,3.0,,,,ΛΕΣΒΟΥ,2007-05-14T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.8,0.0,2007-07-06T00:35:00,Π.Υ. ΒΙ.ΠΕ.ΒΟΛΟΥ,,,0.0,ΒΟΛΟΥ,0.0,,,Δ.Δ.ΣΤΕΦΑΝΟΒΙΚΕΙΟΥ Δ. ΚΑΡΛΑΣ,0.0,,,,ΜΑΓΝΗΣΙΑΣ,2007-07-06T00:00:00,0.0,,,,0.0
,0.0,,,,,,20.0,0.0,,Π.Κ. ΦΑΡΣΑΛΩΝ,,,0.0,,0.0,,,Δ.Δ.Ζ.ΠΗΓΗΣ Δ.ΠΟΛΥΔΑΜΑΝΤΑ,0.0,,,,ΛΑΡΙΣΑΣ,2007-07-13T00:00:00,0.0,,,,0.0
,0.0,,,,,,2.0,0.0,2007-06-19T17:40:00,Π.Υ. ΚΑΤΕΡΙΝΗΣ,,,0.0,ΠΙΕΡΙΑΣ,0.0,,,ΠΕΡΙΟΧΗ<<ΡΟΓΚΙΑ>>ΒΡΟΝΤΟΥΣ,0.0,,,,ΠΙΕΡΙΑΣ,2007-07-19T00:00:00,0.0,,,,0.05
,10.0,,,,,,0.0,0.0,2007-07-27T06:00:00,Π.Κ. ΠΥΛΟΥ,,,0.0,ΚΑΛΑΜΑΤΑΣ,0.0,,,Δ.Δ.ΧΑΝΔΡΙΝΟΥ (ΛΟΓΓΑΚΙΑ),0.0,,,,ΜΕΣΣΗΝΙΑΣ,2007-07-26T00:00:00,0.0,,,,0.0
,0.0,,,,,,3.0,0.0,2007-08-19T02:20:00,1ος  Π.Σ. ΛΑΡΙΣΑΣ,,,0.0,ΛΑΡΙΣΑΣ,0.0,,,ΤΟΥΜΠΑ ΛΑΡΙΣΑΣ,0.0,,,,ΛΑΡΙΣΑΣ,2007-08-19T00:00:00,0.0,,,,0.0
,10.0,,,,,,0.0,0.0,2007-08-23T02:00:00,Π.Υ  ΘΗΒΑΣ,,,0.0,ΘΗΒΩΝ,0.0,,,ΜΑΥΡΟΜΑΤΙ,0.0,,,,ΒΟΙΩΤΙΑΣ,2007-08-23T00:00:00,0.0,,,,5.0
,0.0,,,,,,0.0,0.0,,Π.Κ. ΧΑΛΑΝΔΡΙΤΣΑΣ,,,0.0,ΠΑΤΡΩΝ,0.0,,,ΑΝΩ ΚΑΛΛΙΘΕΑ,0.0,,,,ΑΧΑΙΑΣ,2007-09-03T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2007-09-21T04:50:00,Π.Κ. ΣΗΤΕΙΑΣ,,,0.0,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,0.0,,,ΜΑΡΩΝΙΑ,6.0,,,,ΛΑΣΙΘΙΟΥ,2007-09-21T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,2008-02-14T16:30:00,Π.Κ. ΝΕΑΣ ΖΙΧΝΗΣ,,,0.0,,0.0,,,ΑΓΡ.ΠΕΡ.Δ.Δ ΑΛΙΣΤΡΑΤΗΣ,2.0,,,,ΣΕΡΡΩΝ,2008-02-14T00:00:00,0.0,,,,0.0
,10.0,,,,,,0.0,0.0,2008-06-29T01:15:00,Π.Υ. ΤΡΙΚΑΛΩΝ,,,0.0,ΤΡΙΚΑΛΩΝ,0.0,,,ΔΗΜΟΣ ΠΑΛΗΟΚΑΣΤΡΟΥ,0.0,,,,ΤΡΙΚΑΛΩΝ,2008-06-29T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.0,0.0,,Π.Κ. ΜΕΤΣΟΒΟΥ,,,0.02,ΙΩΑΝΝΙΝΩΝ,0.0,,,ΑΡΚΟΥΔΟΡΕΜΑ Δ/Δ ΑΝΗΛΙΟΥ Δ.ΜΕΤΣΟΒΟΥ,0.0,,,,ΙΩΑΝΝΙΝΩΝ,2008-07-02T00:00:00,0.0,,,,0.0
,10.0,,,,,,15.0,0.0,2008-08-05T22:25:00,1ος  Π.Σ. ΙΩΑΝΝΙΝΩΝ,,,0.0,ΙΩΑΝΝΙΝΩΝ,0.0,,,Δ.ΠΑΜΒΩΤΙΔΟΣ -ΙΩΑΝΝΙΝΑ,0.0,,,,ΙΩΑΝΝΙΝΩΝ,2008-08-05T00:00:00,0.0,,,,0.0
,0.0,,,,,,0.1,0.0,,Π.Υ. ΓΑΡΓΑΛΙΑΝΩΝ,,,0.0,,0.0,,,ΓΑΡΓΑΛΙΑΝΟΙ,0.0,,,,ΜΕΣΣΗΝΙΑΣ,2008-08-08T00:00:00,0.0,,,,0.0
