age_group,count,election_type,electoral_district,year
30-35,27789,βουλευτικές,ΗΡΑΚΛΕΙΟΥ,2012
30-35,6108,βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,2012
30-35,53947,βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,2012
30-35,28630,βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,2012
30-35,16658,βουλευτικές,ΙΩΑΝΝΙΝΩΝ,2012
30-35,13146,βουλευτικές,ΚΑΒΑΛΑΣ,2012
30-35,12737,βουλευτικές,ΚΑΡΔΙΤΣΗΣ,2012
30-35,5027,βουλευτικές,ΚΑΣΤΟΡΙΑΣ,2012
30-35,9814,βουλευτικές,ΚΕΡΚΥΡΑΣ,2012
30-35,4036,βουλευτικές,ΚΕΦΑΛΛΗΝΙΑΣ,2012
30-35,9166,βουλευτικές,ΚΙΛΚΙΣ,2012
30-35,15312,βουλευτικές,ΚΟΖΑΝΗΣ,2012
30-35,12990,βουλευτικές,ΚΟΡΙΝΘΙΑΣ,2012
30-35,10821,βουλευτικές,ΚΥΚΛΑΔΩΝ,2012
30-35,8702,βουλευτικές,ΛΑΚΩΝΙΑΣ,2012
30-35,25666,βουλευτικές,ΛΑΡΙΣΗΣ,2012
30-35,6597,βουλευτικές,ΛΑΣΙΘΙΟΥ,2012
30-35,9524,βουλευτικές,ΛΕΣΒΟΥ,2012
30-35,2448,βουλευτικές,ΛΕΥΚΑΔΟΣ,2012
30-35,17527,βουλευτικές,ΜΑΓΝΗΣΙΑΣ,2012
30-35,16474,βουλευτικές,ΜΕΣΣΗΝΙΑΣ,2012
30-35,12455,βουλευτικές,ΞΑΝΘΗΣ,2012
30-35,13901,βουλευτικές,ΠΕΛΛΗΣ,2012
30-35,12349,βουλευτικές,ΠΙΕΡΙΑΣ,2012
30-35,6724,βουλευτικές,ΠΡΕΒΕΖΗΣ,2012
30-35,7447,βουλευτικές,ΡΕΘΥΜΝΗΣ,2012
30-35,12165,βουλευτικές,ΡΟΔΟΠΗΣ,2012
30-35,3993,βουλευτικές,ΣΑΜΟΥ,2012
30-35,21252,βουλευτικές,ΣΕΡΡΩΝ,2012
30-35,14856,βουλευτικές,ΤΡΙΚΑΛΩΝ,2012
30-35,14301,βουλευτικές,ΦΘΙΩΤΙΔΟΣ,2012
30-35,5686,βουλευτικές,ΦΛΩΡΙΝΗΣ,2012
30-35,3827,βουλευτικές,ΦΩΚΙΔΟΣ,2012
30-35,9976,βουλευτικές,ΧΑΛΚΙΔΙΚΗΣ,2012
30-35,13675,βουλευτικές,ΧΑΝΙΩΝ,2012
30-35,5233,βουλευτικές,ΧΙΟΥ,2012
36-41,23751,βουλευτικές,ΑΙΤΩΛ/ΝΙΑΣ,2012
36-41,9067,βουλευτικές,ΑΡΓΟΛΙΔΟΣ,2012
36-41,9885,βουλευτικές,ΑΡΚΑΔΙΑΣ,2012
36-41,7597,βουλευτικές,ΑΡΤΗΣ,2012
36-41,42990,βουλευτικές,Α'ΑΘΗΝΩΝ,2012
36-41,153986,βουλευτικές,Β'ΑΘΗΝΩΝ,2012
36-41,50446,βουλευτικές,ΝΟΜΟΥ ΑΤΤΙΚΗΣ,2012
36-41,18784,βουλευτικές,Α'  ΠΕΙΡΑΙΩΣ,2012
36-41,27710,βουλευτικές,Β'  ΠΕΙΡΑΙΩΣ,2012
36-41,29017,βουλευτικές,ΑΧΑΪΑΣ,2012
36-41,10849,βουλευτικές,ΒΟΙΩΤΙΑΣ,2012
36-41,3968,βουλευτικές,ΓΡΕΒΕΝΩΝ,2012
36-41,11361,βουλευτικές,ΔΡΑΜΑΣ,2012
36-41,18614,βουλευτικές,ΔΩΔΕΚΑΝΗΣΟΥ,2012
36-41,15769,βουλευτικές,ΕΒΡΟΥ,2012
36-41,20158,βουλευτικές,ΕΥΒΟΙΑΣ,2012
36-41,2560,βουλευτικές,ΕΥΡΥΤΑΝΙΑΣ,2012
36-41,3596,βουλευτικές,ΖΑΚΥΝΘΟΥ,2012
36-41,15977,βουλευτικές,ΗΛΕΙΑΣ,2012
36-41,14198,βουλευτικές,ΗΜΑΘΙΑΣ,2012
36-41,27966,βουλευτικές,ΗΡΑΚΛΕΙΟΥ,2012
36-41,5970,βουλευτικές,ΘΕΣΠΡΩΤΙΑΣ,2012
36-41,57428,βουλευτικές,Α'  ΘΕΣ/ΝΙΚΗΣ,2012
36-41,30733,βουλευτικές,Β'  ΘΕΣ/ΝΙΚΗΣ,2012
36-41,16422,βουλευτικές,ΙΩΑΝΝΙΝΩΝ,2012
36-41,14344,βουλευτικές,ΚΑΒΑΛΑΣ,2012
