appprocesstime,average_speed,countedcars,deviceid
2020-11-05T00:00:00Z,51.93356643356643,11440,MS427
2020-11-05T00:00:00Z,59.4715909090909,14080,MS428
2020-11-05T00:00:00Z,42.146666666666675,3000,MS430
2020-11-05T00:00:00Z,38.480769230769226,6240,MS431
2020-11-05T00:00:00Z,38.68918918918919,5920,MS432
2020-11-05T00:00:00Z,43.85422740524782,13720,MS434
2020-11-05T00:00:00Z,44.35121951219514,8200,MS435
2020-11-05T00:00:00Z,44.78606965174131,16080,MS436
2020-11-05T00:00:00Z,58.48672566371681,9040,MS437
2020-11-05T00:00:00Z,50.30218068535825,12840,MS438
2020-11-05T00:00:00Z,56.07692307692307,9880,MS439
2020-11-05T00:00:00Z,63.12941176470587,6800,MS440
2020-11-05T00:00:00Z,42.05714285714286,2800,MS441
2020-11-05T00:00:00Z,59.026315789473685,3040,MS442
2020-11-05T00:00:00Z,56.65217391304347,10120,MS443
2020-11-05T00:00:00Z,49.09027777777777,5760,MS444
2020-11-05T00:00:00Z,56.050314465408825,6360,MS445
2020-11-05T00:00:00Z,46.09933774834436,6040,MS446
2020-11-05T00:00:00Z,52.05714285714287,5600,MS447
2020-11-05T00:00:00Z,54.006153846153836,13000,MS448
2020-11-05T00:00:00Z,60.398305084745765,9440,MS449
2020-11-05T00:00:00Z,42.41379310344827,1160,MS450
2020-11-05T00:00:00Z,60.137254901960794,8160,MS451
2020-11-05T00:00:00Z,58.12500000000001,7360,MS452
2020-11-05T00:00:00Z,47.00000000000002,2240,MS453
2020-11-05T00:00:00Z,63.50185873605947,10760,MS454
2020-11-05T00:00:00Z,28.333333333333332,360,MS455
2020-11-05T00:00:00Z,51.05027932960897,7160,MS456
2020-11-05T00:00:00Z,57.124999999999986,11200,MS457
2020-11-05T00:00:00Z,66.06857142857143,7000,MS458
2020-11-05T00:00:00Z,54.24590163934427,9760,MS459
2020-11-05T00:00:00Z,48.93236714975845,8280,MS460
2020-11-05T00:00:00Z,56.657004830917835,8280,MS462
2020-11-05T00:00:00Z,59.810606060606084,5280,MS463
2020-11-05T00:00:00Z,86.87218045112782,5320,MS464
2020-11-05T00:00:00Z,36.65882352941176,3400,MS466
2020-11-05T00:00:00Z,57.94186046511628,10320,MS467
2020-11-05T00:00:00Z,49.56250000000001,1920,MS468
2020-11-05T00:00:00Z,55.56410256410255,6240,MS469
2020-11-05T00:00:00Z,24.13333333333334,600,MS470
2020-11-05T00:00:00Z,19.499999999999996,960,MS471
2020-11-05T00:00:00Z,22.724137931034488,1160,MS472
2020-11-05T00:00:00Z,36.639999999999986,2000,MS473
2020-11-05T00:00:00Z,57.422222222222224,7200,MS475
2020-11-05T00:00:00Z,53.38823529411765,6800,MS476
2020-11-05T00:00:00Z,47.409836065573785,4880,MS481
2020-11-05T00:00:00Z,21.545454545454547,440,MS485
2020-11-05T00:00:00Z,55.61392405063294,12640,MS486
2020-11-05T00:00:00Z,47.48920863309354,5560,MS488
2020-11-05T00:00:00Z,19.583333333333332,480,MS489
2020-11-05T00:00:00Z,55.892045454545446,7040,MS490
2020-11-05T00:00:00Z,47.927083333333336,3840,MS491
