accident_type,burns,damages,deaths,end_time,fire_station,fire_trucks,fire_vessels,firefighters,incident,incident_detail,injuries,location_description,municipality,people_involved,prefecture,start_time,village
,0,0,0,2014-07-13T02:20:00,12ος Π.Σ. ΑΘΗΝΩΝ,2,,6, ΠΥΡΚΑΓΙΑ,ΜΕΣΑΙΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,1,ΑΤΤΙΚΗΣ,2014-07-13T00:00:00,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ
,0,0,0,,3ος  Π.Σ. ΠΕΙΡΑΙΑ,1,,3, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,1,ΑΤΤΙΚΗΣ,2014-07-24T00:00:00,
,0,0,0,, 1ος Π.Σ. ΑΘΗΝΩΝ,1,,2, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΠΕΖΟΔΡΟΜΙΑ                              ,Δ. ΑΘΗΝΑΙΩΝ,1,ΑΤΤΙΚΗΣ,2014-07-26T00:00:00,
,0,0,0,,4ος Π.Σ. ΒΙΠΕ ΗΡΑΚΛΕΙΟΥ,1,,2, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΣΚΗΝΕΣ                                  ,Δ. ΗΡΑΚΛΕΙΟΥ,1,ΗΡΑΚΛΕΙΟΥ,2014-07-31T00:00:00,
,0,0,0,2014-08-10T00:26:00,12ος Π.Σ. ΑΘΗΝΩΝ,2,,6, ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,1,ΑΤΤΙΚΗΣ,2014-08-10T00:00:00,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ
ΑΠΕΛΕΥΘΕΡΩΣΗ,0,0,0,,3ος  Π.Σ. ΘΕΣΣΑΛΟΝΙΚΗΣ,1,,4, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΘΕΣΣΑΛΟΝΙΚΗΣ,3,ΘΕΣΣΑΛΟΝΙΚΗΣ,2014-08-29T00:00:00,
,0,0,0,,1ος  Π.Σ. ΗΡΑΚΛΕΙΟΥ,1,,3, ΠΥΡΚΑΓΙΑ,ΜΙΚΡΗ,0,ΟΙΚΟΠΕΔΙΚΟΙ ΧΩΡΟΙ                       ,Δ. ΗΡΑΚΛΕΙΟΥ,1,ΗΡΑΚΛΕΙΟΥ,2014-08-30T00:00:00,
,0,0,0,,Π.Υ. ΠΥΡΓΟΥ,1,,2, ΠΑΡΟΧΗ ΒΟΗΘΕΙΑΣ,ΑΝΟΙΓΜΑ ΘΥΡΩΝ,0,ΔΙΠΛΟΚΑΤΟΙΚΙΕΣ                          ,Δ. ΠΥΡΓΟΥ,1,ΗΛΕΙΑΣ,2014-08-31T00:00:00,
,0,0,0,, 8ος Π.Σ. ΑΘΗΝΩΝ,1,,2, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΞΕΝΟΔΟΧΕΙΑ                              ,Δ. ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,1,ΑΤΤΙΚΗΣ,2014-09-05T00:00:00,
ΔΙΑΣΩΣΗ,0,0,0,,Π.Υ. ΠΤΟΛΕΜΑΙΔΑΣ,1,,2, ΕΠΕΜΒΑΣΗ ΣΕ ΑΝΕΛΚΥΣΤΗΡΑ,ΑΠΕΛΕΥΘΕΡΩΣΗ ΑΠΟ ΑΝΕΛΚΥΣΤΗΡΑ,0,ΚΤΙΡΙΑ ΔΙΑΜΕΡΙΣΜΑΤΩΝ                    ,Δ. ΕΟΡΔΑΙΑΣ,1,ΚΟΖΑΝΗΣ,2014-09-15T00:00:00,
